stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0,00000] opening C:\Users\muril\PI_2_GAME\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0,03626] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03628] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03632] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03635] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03637] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03640] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03644] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03648] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03651] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03655] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03659] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03662] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03665] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03667] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03670] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03674] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03677] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03680] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03683] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03686] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03688] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03692] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03694] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03697] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03699] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03703] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03706] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03710] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03713] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03719] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0,03726] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0,03754] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0,03760] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0,07261] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0,09024] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0,09055] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0,09085] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0,09107] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0,09123] Returning d3d_display: 000001B51ABCCDC0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0,09128] al_display=000001B51ABCCDC0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0,09138] al_display->vt=000001B51AB724C0
system   D            wsystem.c:834  maybe_parent_dir                 [   0,09259] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,09459] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,09473] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,09556] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,09571] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,09654] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,09668] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,09745] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,09761] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,09891] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,09910] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,10026] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,10045] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,10164] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,10182] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,10381] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,10414] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,10587] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,10610] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,10733] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,10753] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,10865] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,10884] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,10998] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,11013] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,11121] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,11139] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,11265] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,11282] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,11402] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,11430] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,11565] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,11587] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,11676] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,11690] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,11803] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,11820] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,11991] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0,12043] Also searching C:\Users\muril\PI_2_GAME\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0,12165] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0,12171] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0,12183] added dtor for bitmap 000001B521388D60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12241] added dtor for bitmap 000001B52138A4A0, func 00007FFC182E118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12494] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12498] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12500] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12502] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12504] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12506] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12508] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12511] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0,12514] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0,12517] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0,12519] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0,12521] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0,12523] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0,12547] added dtor for bitmap 000001B521389710, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12588] added dtor for sub_bitmap 000001B52138A690, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12592] added dtor for sub_bitmap 000001B52138A2B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12595] added dtor for sub_bitmap 000001B521389330, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12598] added dtor for sub_bitmap 000001B521389900, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12601] added dtor for sub_bitmap 000001B521389AF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12604] added dtor for sub_bitmap 000001B52142CB60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12607] added dtor for sub_bitmap 000001B52142E2A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12610] added dtor for sub_bitmap 000001B52142E490, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12613] added dtor for sub_bitmap 000001B52142DEC0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12618] added dtor for sub_bitmap 000001B52142E0B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12623] added dtor for sub_bitmap 000001B52142E680, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12626] added dtor for sub_bitmap 000001B52142C970, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12628] added dtor for sub_bitmap 000001B52142CF40, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12631] added dtor for sub_bitmap 000001B52142CD50, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12634] added dtor for sub_bitmap 000001B52142DAE0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12637] added dtor for sub_bitmap 000001B52142D130, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12640] added dtor for sub_bitmap 000001B52142D320, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12643] added dtor for sub_bitmap 000001B52142DCD0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12646] added dtor for sub_bitmap 000001B52142D510, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12649] added dtor for sub_bitmap 000001B52142D700, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12653] added dtor for sub_bitmap 000001B52142D8F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12658] added dtor for sub_bitmap 000001B52142FED0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12663] added dtor for sub_bitmap 000001B52142FAF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12667] added dtor for sub_bitmap 000001B52142F140, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12671] added dtor for sub_bitmap 000001B52142E980, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12675] added dtor for sub_bitmap 000001B52142EB70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12677] added dtor for sub_bitmap 000001B5214304A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12681] added dtor for sub_bitmap 000001B52142F330, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12687] added dtor for sub_bitmap 000001B5214302B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12693] added dtor for sub_bitmap 000001B52142F900, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12700] added dtor for sub_bitmap 000001B5214300C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12704] added dtor for sub_bitmap 000001B52142FCE0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12709] added dtor for sub_bitmap 000001B521430690, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12714] added dtor for sub_bitmap 000001B52142ED60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12719] added dtor for sub_bitmap 000001B52142EF50, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12723] added dtor for sub_bitmap 000001B52142F520, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12727] added dtor for sub_bitmap 000001B52142F710, func 00007FFC182E118B
